"","logFC","AveExpr","t","P.Value","adj.P.Val","B","pval"
"218987_at",-1.15991529564514,6.83305386744722,-1.0133580270704,0.324090880819834,0.612165558812271,-5.68608680443673,0.00608621737774921
"220184_at",-1.49619807296298,5.59331720532604,-1.00592160960389,0.327559872353529,0.615519781798206,-5.69326249338391,0.000394374271438249
"220284_at",-1.22239900542435,5.80649169321712,0.993749343460509,0.333294260774803,0.621846908334938,-5.70490629524971,0.00361800161568397
"212944_at",-1.08109052067875,7.6244069231442,0.990589302087898,0.334794379395379,0.623139254599668,-5.7079084462106,0.00188501738373793
"204474_at",-1.21071225418663,6.66916702971871,0.984029291668067,0.33792354567914,0.626399664617608,-5.71411338426068,0.00107535701824735
"211303_x_at",-1.467036911518,4.58149726167743,0.97982288443705,0.33994070856247,0.62830761245554,-5.7180726897194,0.000430386129271772
"203368_at",2.1910828572717,5.93531433686476,0.977537584236104,0.34104011324444,0.629558184361349,-5.72021737029024,0.00026434122266581
"206663_at",-1.08880263079249,5.31992075346562,0.975082114909854,0.342224128884866,0.630698888755394,-5.72251674459419,0.000368840314083815
"205195_at",-1.47379322856898,5.47906356644319,0.974163258074627,0.342667928905739,0.631151385336963,-5.7233758556095,0.000330434249737164
"206746_at",-1.38326345388988,5.07409073817253,-0.971915769835369,0.343755125955456,0.632108092220744,-5.72547414470654,0.0161079421344298
"210221_at",1.3749755885967,5.71336032024059,0.971398801396721,0.344005540881196,0.632152026014818,-5.72595617886685,0.00886877988937567
